hero_id,name,roles,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,5_winrate,6_winrate,7_winrate,8_winrate,mean_winrate
91,npc_dota_hero_wisp,Support-Escape-Nuker,13152,6800,6919,3673,3549,1878,1693,930,0.5170316301703163,0.530857060268825,0.5291631445477599,0.5493207324276432,0.5315931418536362
92,npc_dota_hero_visage,Support-Nuker-Durable-Disabler-Pusher,3086,1613,1764,936,1089,581,452,222,0.5226830848995463,0.5306122448979592,0.5335169880624426,0.4911504424778761,0.519490690084456
93,npc_dota_hero_slark,Carry-Escape-Disabler-Nuker,33041,16413,14639,7340,6154,3090,1701,840,0.49674646651130416,0.5014003688776556,0.5021124471888203,0.49382716049382713,0.4985216107679018
94,npc_dota_hero_medusa,Carry-Disabler-Durable,18562,9713,8137,4212,3898,2050,1671,861,0.5232733541644219,0.5176354921961411,0.525910723447922,0.5152603231597845,0.5205199732420673
95,npc_dota_hero_troll_warlord,Carry-Pusher-Disabler-Durable,7435,3770,3080,1477,1313,660,435,195,0.5070611970410221,0.47954545454545455,0.5026656511805027,0.4482758620689655,0.4843870412089862
96,npc_dota_hero_centaur,Durable-Initiator-Disabler-Nuker-Escape,8660,4390,3400,1725,1389,687,328,152,0.5069284064665127,0.5073529411764706,0.4946004319654428,0.4634146341463415,0.49307410343869185
97,npc_dota_hero_magnataur,Initiator-Disabler-Nuker-Escape,45322,21714,20914,9933,9138,4498,2996,1465,0.47910507038524336,0.47494501291001245,0.49223024731888815,0.48898531375166887,0.48381641109145324
98,npc_dota_hero_shredder,Nuker-Durable-Escape,11540,5382,5367,2496,2616,1183,989,462,0.46637781629116115,0.4650642817216322,0.452217125382263,0.4671385237613751,0.46269943678910785
99,npc_dota_hero_bristleback,Carry-Durable-Initiator-Nuker,15697,7665,5685,2745,2015,917,452,223,0.4883098681276677,0.48284960422163586,0.45508684863523574,0.49336283185840707,0.4799022882107366
100,npc_dota_hero_tusk,Initiator-Disabler-Nuker,11496,5300,5290,2446,2489,1188,869,401,0.46102992345163535,0.4623818525519849,0.4773001205303335,0.4614499424626007,0.4655404597491386
101,npc_dota_hero_skywrath_mage,Support-Nuker-Disabler,22295,11685,10403,5252,4992,2608,1930,975,0.5241085445167077,0.5048543689320388,0.5224358974358975,0.5051813471502591,0.5141450395087258
102,npc_dota_hero_abaddon,Support-Carry-Durable,9120,4817,4332,2208,2012,1010,707,358,0.5281798245614036,0.5096952908587258,0.5019880715705766,0.5063649222065064,0.5115570272993031
103,npc_dota_hero_elder_titan,Initiator-Disabler-Nuker-Durable,8633,4276,4510,2174,2275,1181,1025,501,0.4953086991775744,0.482039911308204,0.5191208791208791,0.48878048780487804,0.49631249435288394
104,npc_dota_hero_legion_commander,Carry-Disabler-Initiator-Durable-Nuker,37586,19308,17299,8933,7574,3743,2469,1268,0.5137019102857447,0.5163882305335569,0.49419065223131764,0.5135682462535439,0.5094622598260408
105,npc_dota_hero_techies,Nuker-Disabler,16143,7741,6982,3352,2832,1344,798,364,0.4795267298519482,0.48009166427957606,0.4745762711864407,0.45614035087719296,0.4725837540487895
106,npc_dota_hero_ember_spirit,Carry-Escape-Nuker-Disabler-Initiator,29492,13804,14069,6775,6557,3099,2516,1225,0.46805913468059135,0.48155519226668564,0.4726246759188653,0.4868839427662957,0.4772807364081095
107,npc_dota_hero_earth_spirit,Nuker-Escape-Disabler-Initiator-Durable,10145,5019,5339,2663,2744,1358,1211,622,0.4947264662395269,0.4987825435474808,0.49489795918367346,0.5136251032204789,0.50050801804779
108,npc_dota_hero_abyssal_underlord,Support-Nuker-Disabler-Durable-Escape,7831,4088,3292,1663,1376,667,293,138,0.5220278380794279,0.5051640340218712,0.48473837209302323,0.4709897610921502,0.49573000132161804
109,npc_dota_hero_terrorblade,Carry-Pusher-Nuker,9091,4206,4908,2314,2684,1241,1332,631,0.46265537344626556,0.47147514262428686,0.46236959761549923,0.47372372372372373,0.4675559593524439
110,npc_dota_hero_phoenix,Support-Nuker-Initiator-Escape-Disabler,9157,4344,4449,2111,2141,995,768,333,0.4743911761493939,0.474488649134637,0.4647361046240075,0.43359375,0.4618024199770096
